post_id,post_time,author_id,author_name,platform,clean_content,source_type,fraud_category,new_category_name,age_group,gender,education_level,occupation,economic_status,contact_channel,loss_amount,fund_behavior,decision_trait,post_event_behavior
FACEBOOK_20260118040020188_01e6d218,2025/12/23 18:42,100029749942326,Zhu Bei Zai Sha,FACEBOOK,"寄语义务反诈人士们：虽然在年，系统所处理的<盗图假号移除通知>不尽人意；至少还是收到一些零零碎碎的<移除通知>也算是给予积极反诈人士们的一些精神补偿吧...... 年的系统操作方式，好像又是在""开倒车""了???因为曾经""列队进来""的移除通知似乎已成为历史矣......在加上最近频频收到莫名其妙的<假移除通知>；即被系统移除后的鬼号，依然还打得开哦到底目前系统的<移除通知>可信度有多高呢???这是在年 1 月份的前两个星期，系统赐予反诈人士们的寥寥无几<移除通知安慰奖>......年，所收到的第至个被<FB 系统>移除的鬼号通知!!!<FB 系统>移除鬼号通知的时间段：3 Jan 2026@12.06am 至 13 Jan 2026@7.47am~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~1. Zhong Hui (3 Jan 2026@12.06am)2. Zhenxi Dangxia (3 Jan 2026@12.27am)(检举自唐果版主<已闹失踪???>的举发文；即全部贴文不见了!!!)3. 林曉珠 (3 Jan 2026@12.35am)4. 陳達東 (3 Jan 2026@2.23am)5. Anna Plana (3 Jan 2026@2.25am)6. Rou Sio Sha (3 Jan 2026@2.30am)7. 高晧誌 (3 Jan 2026@2.32am)8. Kevin Lee (3 Jan 2026@2.45am)9. 专业受理欺诈案件 (5 Jan 2026@11.27am)(检举自<买一送一>的二诈假账号 B)10. 李曉燕 (5 Jan 2026@11.39am)(检举自唐果版主<已闹失踪???>的举发文；即全部贴文不见了!!!)11. 李文豪 (7 Jan 2026@2.56am)12a. Hongming Peng(7 Jan 2026@5.57pm)(第一次被系统移除后，竟然再度现身的鬼号???)12b. Hongming Peng(14 Jan 2026@12.07am)(再次检举后，莫名其妙的系统又再来第二次移除通知???)13. Kazuhiko Sugioka(9 Jan 2026@11.39pm)14. Hsin Yu Hsieh (10 Jan 2026@4.41am)15. Karl Maloney/林冠宇(10 Jan 2026@4.44am)(拥有两个鬼名的假账号)16. 陳清泉 (10 Jan 2026@4.47am)(检举自另一个反诈社团的鬼号)17. 王清遠 (10 Jan 2026@4.50am)18. 陳偉霖 (10 Jan 2026@12.49pm)(检举自唐果版主<已闹失踪???>的举发文；即全部贴文不见了!!!)19. Woo Kim (10 Jan 2026@12.56pm)20. Jie傑 (11 Jan 2026@10.13am)(检举自另一个反诈社团的鬼号)21. Micheal Le/Charlotte Lim(12 Jan 2026@1.11am)(拥有两个鬼名的假账号)22. Elliot Guo (12 Jan 2026@9.57am)23. 张秀希 (12 Jan 2026@10.09am)(检举自<反诈网友>所提供的鬼号)24. Lu Cas (13 Jan 2026@7.47am)(检举自另一个反诈社团的鬼号)衷心祈求这 24 只被 FB 系统移除的<盗图骗子们>万劫不复矣；一路走好......拜托别再回头!!!",其他,其他,社交平台盗图冒用类诈骗,未知,未知,未知,其他,未知,Facebook,未提及,未知,未知,未知
FACEBOOK_20251102143459354_2c6ab99c,2025/10/14 18:31,,,FACEBOOK,高中時期有半工半讀賺點零用錢，家人也千交代萬交代叫我存起來我不要去動，他也不會去動，我也都沒動，後來發現他被詐騙了，他也動我高中存的那些錢，我現在完全不知道怎麼面對他，不知道怎麼信任自己的家人，有人知道怎麼辦嗎？,原始诈骗信息,其他,亲属代管资金被诈取,青年,未知,高中/中专,学生,未知,未知,未提及,未知,未知,未知
LK_20251105102944568_930b31a7,2025/10/24 18:26,7076,每天插你多一些,LIHKG,"美國和英國政府昨日（14日）公佈採取聯合行動，制裁柬埔寨犯罪集團主腦陳志及與其相關的100多間公司，最少19項物業被凍結、價值約150億美元（約1,166億港元）的比特幣被美國沒收。美國財政部指陳志成立的企業營運最少10個詐騙園區，從事網上情緣、賭場及加密幣騙局等活動，過程涉及人口販運、強迫勞動以至性剝削。英美兩國公開資料顯示，陳志的3個聯絡地址有兩處是位於香港的商廈，他在香港亦直接或間接控制10間公司，包括上市企業致浩達控股（1707）及坤集團（0924）。陳志1987年12月出生於中國福建省，英國財政部文件顯示他柬埔寨、瓦努阿圖和塞浦路斯國籍，但沒有中國籍。陳志2010年代於柬埔寨成立企業太子集團，於金邊、施漢諾市等地大舉投資地產及賭博等行業，同時於政界扶搖直上，2020年起擔任柬埔寨首相顧問。英國財政部文件顯示陳志的3個聯絡地址位於香港和柬埔寨首都金邊，其中香港的兩個地址分別為尖沙嘴金巴利道68號和中環長江中心。美國財政部則指陳志直接或間接控制89間公司，其中致浩達控股等10間公司在香港註冊。翻查資料，致浩達控股今年7月發通告，指陳志辭任董事會主席及執行董事。Channel WE 報料熱線 - WhatsApp 84898873👉美國財政部指太子集團的利潤來自跨國犯罪，包括性剝削、洗黑錢、詐騙、貪污、非法網上賭博、人口販運、強迫勞動等，稱該企業涉及柬埔寨最少10個詐騙園區。當局續稱詐騙園區往往以高薪厚職招聘，但當勞工抵埗便會強迫他們從事網上情緣、投資騙局等活動，亦會沒收勞工的護照和虐待他們。美國充公1,166億元比特幣英國政府稱陳志及其同謀在倫敦持有最少19項物業，包括於倫敦金融區價值1億英鎊（約10.35億港元）的辦公室及倫敦市中心多個住宅單位，其中單在新牛津街的地標建築「Center Point」便擁有7個單位，這些物業已被凍結。美國司法部公佈就案件充公127,271枚比特幣，市值約150億美元（約1,166億港元），是歷來金額最大的充公行動。除了比特幣，陳志等人亦涉嫌以犯罪得益購買手錶、遊艇、私人飛機和藝術品等。美國政府已向法院提交文件起訴陳志，若罪成最高可被判監40年，目前正追緝他。陳志成立的另外兩間公司金貝集團（Jin Bei）和金運度假世界（Golden Fortune Resorts World）今年較早前被國際特赦組織點名，指它們於柬埔寨營運詐騙園區，且園區存在強迫勞動和酷刑。金貝集團、金運度假世界及與陳志有關的加密幣交易平台Byex Exchange亦被列入英國制裁名單。英國外相顧綺慧批評犯罪集團摧毀弱勢者的人生，更於倫敦購買物業以藏起其財富，期望藉今次制裁阻止黑錢流入市面。美國財長貝森特則稱跨國詐騙對美國公民構成數以十億計美元損失，不少人畢生積蓄轉眼間化為烏有，美國財政部會跟執法部門及外國政府合作保護美國國民。國際詐騙洗錢中心又多個新朵但估唔到連誠哥中心都有收過詐騙來源收返黎的錢",案件报道/通报,网络婚恋、交友类（杀猪盘）诈骗,无,未知,未知,未知,未知,未知,其他,未提及,未知,未知,未知
LK_20251105102944934_710ea37f,2025/10/24 18:26,672163,唔鍾意著衫,LIHKG,個鄰居為左省60元ntd運費連個銀行户口都比人凍結埋新聞又成日報班友比人呃去金邊我出關勁緊張問我去東南亞做乜（我本護照有蓋章係東南亞領事館拎）,原始诈骗信息,其他,东南亚高薪招聘诈骗（虚假劳务输出）,青年,未知,未知,待业/无业,低收入,未知,未提及,未知,盲目相信,告知亲友
LK_20251105102945023_ec5d75cc,2025/10/24 18:27,30453,一切歸零,LIHKG,65 歲持雙程證的中國籍女子，涉嫌藉與人結婚，並虛報來港與配偶團聚，被起訴串謀詐騙罪，周一（13 日）在沙田裁判法院提堂。官押後至 11 月 26 日再訊，期間被告須還押候訊。控罪指涉藉與人結婚虛報來港團聚被告黎輝琼（中國籍，65 歲），持中華人民共和國往來港澳通行證到港，被控一項串謀詐騙罪，指她於 2024 年 3 月某天至 2025 年 10 月 3 日期間（包括首尾兩天），在香港或其他地方，與黃耀基及其他不知名人士串謀詐騙香港特別行政區政府入境事務處處長及其人員，即黎藉與黃耀基締結結婚，並不誠實地及虛假地向處長及其人員表示，黎來港目的是為了探望配偶並與其團聚，從而誘使處長及其人員作出違反其公務職責的行為，既在原本不會批准的情況下批准黎進入香港。STCC3833/2025,案件报道/通报,其他,假结婚骗取入境许可,老年,女,未知,未知,未知,未知,未提及,未知,未知,未知
LK_20251105102945092_67cd881c,2025/10/24 18:27,16522,mnmmnn,LIHKG,柬埔寨警方在10月11日成功搗毀金邊一處網絡詐騙窩點，拘捕80名涉案人員，其中包括57名中國人。《柬中時報》報道指，其餘被捕人員分別為尼泊爾籍2人、馬來西亞籍5人、越南籍2人、緬甸籍9人，以及柬埔寨籍女性5人。當地警方此前接獲線報，懷疑位於金邊市桑園區摩根大廈34層的一處辦公室暗藏網絡詐騙等非法活動。執法人員突襲該處，查獲大量用於詐騙的電腦設備。案件目前由金邊警方與國家警察總署反科技犯罪局深入調查，以追查幕後主使及相關犯罪網絡。根據資料，摩根大廈為位於金邊中央商務區的高級寫字樓，是金邊的地標性建築。01,案件报道/通报,其他,境外电信网络诈骗窝点犯罪,未知,未知,未知,未知,未知,未知,未提及,未知,未知,未知
LK_20251105102945278_8c6d60cc,2025/10/24 18:27,31637,有種打柒我,LIHKG,"前BIGBANG成員勝利（승리）在Burning Sun事件後退出演藝圈，但因賭博、仲介性交易、挪用夜店公款等9項罪名被判刑1年6月，在2023年2月刑滿釋放。勝利日前在柬埔寨主持活動時候，不斷提及前隊長GD，還說「我會把GD帶來」引來了韓網怒斥，如今被發現該活動疑似和柬埔寨財團太子控股集團（Prince Holding Group）有所牽扯，再度被韓網罵翻。勝利日前在柬埔寨主持的活動中，被眼尖網友發現影片中，他背後有著「Prince Brewing」的LOGO，雖然「Prince Brewing」自詡是位於金邊市中心的頂級精釀啤酒與娛樂酒廊，但事實上身為太子控股集團旗下企業，就被懷疑和犯罪有關。太子控股集團在柬埔寨當地雖然是最大型的企業集團之一，主要負責不動產開發、金融服務與消費者服務，但其實在當地被多家媒體爆出該集團命名的Prince Compound（太子園區）為犯罪園區，惡行有投資詐騙、非法賭博、綁架、拘禁，甚至謀殺等，而和Prince集團相關的物業，還被爆出與人口販賣和網路詐騙有關。當時當地媒體爆出惡行時候，Prince集團發言人Gabriel Tan對於園區內涉嫌人口販賣和網路詐騙的指控，則表示：「對於你提到的事件我們並不知情。」近日因南韓人在柬埔寨遭綁架的案件接連發生，讓勝利當時主持Prince Brewing活動的影片再度被討論，對於勝利是否對集團的不法交易知情，還是和園區有無關係，雖然目前沒有證據可以確認勝利太子控股集團有無關直接關聯，都已經成為討論焦點。韓網友紛紛表示：「如果他明知道太子控股集團在做什麼還去參加活動，那他真的很糟糕。但如果他不知道、只是因為對方出錢就去，那就只是單純的蠢，對吧？」、「勝利真的在讓我們見識到一個人墮落的谷底……從『Burning Sun』開始他就已經走上犯罪之路了」、「看他這行徑，八成最後還是會回到監獄」、「這早就不是什麼小打小鬧的犯罪了……」、「太離譜了」、「他到底在幹嘛？為什麼一直用那種方式想賺錢？」模範的士編劇又有新靈感,新提材鳥",案件报道/通报,其他,境外园区电信诈骗及人口贩卖关联活动,青年,男,未知,艺人,未知,未知,未提及,未知,未知,未知
PTT_1764665130_ae56c72d6e,2025/12/2 16:45,petestar,時間富豪,PTT,台灣成「詐騙練兵場」？《志祺七七》攜手刑事局教「三招破解最新詐騙陷阱 文／記者林秉潔 全民「普發1萬元」現金正式開跑，不過這也讓詐騙集團有機可趁，偽冒政府機關發送假 簡訊，亂槍打鳥誘騙民眾，加上AI淪為助長犯罪工具，讓民眾防不勝防，但究竟台灣詐騙 事件為何層出不窮、台灣人真的這麼好騙嗎？《志祺七七－強者我朋友》Podcast這回邀 請台灣刑事局預防科莊明雄科長一起破解詐騙手法、找出突破台灣防詐困境關鍵；其中， 莊明雄科長就點出，台灣地理環境密集加上頻繁使用網路，平均一人就有兩個以上網路， 因此也讓詐騙集團更容易接觸到民眾。 「台灣是所有詐騙集團的練兵場，只要台灣騙得成功，其他國家都騙得成功。」根據亞洲 詐騙調查報告，台灣詐騙事件名列前茅，約72%台灣民眾一年內曾被受騙，另外，165打詐 儀表板也顯示，光今年8月國人詐騙總受害金額就高達73億多，顯示詐騙無所不在；莊明 雄科長在節目中表示，國人平均每18人就有1人被騙，以往詐騙集團透過電話方式主動接 觸，不接電話就能避免被詐騙，但現在利用AI製作假廣告，再宣稱可提供高收益投資，等 於只要等待民眾主動掉進詐騙陷阱。 不過，讓主持人志祺七七好奇是台灣最常見的詐騙手法到底有哪些？莊明雄科長也舉例， 像演唱會實名制門票，仍並非萬無一失，詐騙集團透過社群平台私下交易，利用時間壓力 讓買家匆忙下單，等買家付款後就消失無蹤。另外，近年來還有「假賣家騙買家」以及「 假買家騙賣家」的詐騙手法，前者因個資外洩，讓詐騙集團以工作人員扣款疏失為由，謊 騙民眾赴ATM操作「解除分期付款」設定，後者則是假買家謊稱金流被凍結，要求賣家做 物流認證完成交易，接著又是赴ATM做金流認證。莊明雄科長強調，但ATM就只能轉帳，根 本沒有所謂認證功能。 此外，愛情詐騙也層出不窮，甚至有些人被詐騙了仍執迷不悟；對此，主持人志祺七七認 為，詐騙集團看準人性面向，利用某些人渴求陪伴等弱點趁虛而入，說不定詐騙名單還因 此被交流，讓詐騙集團專攻這些受害者，使得詐騙事件一而再、再而三發生，這也反映了 社會某些層面的問題。 「每一場查緝行動對於詐騙集團都是成本。」面對層出不窮的詐騙事件，也不能坐以待斃 ，莊明雄科長認為，預防勝於治療，回歸最根本還是得從管理面著手；他說：「首要得想 辦法避免民眾接觸到詐騙訊息，包括金融、電信到網路管理，至於刑法部分，光透過警察 不斷查緝僅治標不治本，尤其對於『詐騙車手』而言，執行處罰部分一定要有配套措施， 如強制輔導、公益服務或保護管束等執行。 但究竟想預防被詐騙該怎麼做？莊明雄科長在節目中也強調，民眾可利用打詐儀表板查詢 最新案例，若年長者則可直接撥打24小時的165反詐騙專線尋求協助，即使發現自己遭到 詐騙，165反詐專線還是有機會能協助圈存並動結金流，最重要謹記「一聽、二掛、三查 證」識詐3步驟，不要跟詐騙集團周旋，不理會就是保護自身財產安全最好的方法。 「全民一起反詐騙」聚焦最新、最熱門的詐騙手法與真實案例，提供165打詐儀錶板等政 府、民間資源連結，助你快速建立反詐防線，成為自己與家人的反詐小尖兵。,案件报道/通报,其他,AI生成虚假广告诱导投资诈骗,未知,未知,未知,未知,未知,网络平台,未提及,未知,未知,未知
LK_20251105103021084_bfd82b55,2025/10/31 19:00,85000,神雕賞你二十天,LIHKG,上年因工作需要，所以訂閱個plan可以下載試卷（仲要係最貴個plan）但今年因為毋須再用個plan，想停止訂閱之際但係個陰濕網 今日已經幫我自動續訂cls 公司仲要即使我取消訂閱佢都無得退翻錢俾我依家想睇睇有無巴、絲你地係讀緊書做補習、私補，或者已為人父人母需要印教材、試卷、工作紙俾細路或自己做想可以一齊夾依家開放 一齊share用$190 HKD 就可以用足全年裏面試卷包含小學一年級到中學程度全部都係真校卷，可以俾學生操練用全年指（今日2025年10月31日至明年2026年10月30日）一經付款就會share 帳號俾大家用，且付款後不得退款有興趣，歡迎入TG grp 查詢btw 個網好多學校嘅真卷，我都唔係好知有無指定學校大家真係有需要就一齊join啦,原始诈骗信息,虚假购物、服务类诈骗,无,中年,未知,未知,家庭主妇/主夫,中等收入,Telegram,未提及,小额试水,盲目相信,未知
LK_20251105103021142_ae363a33,2025/10/31 19:13,276356,憲法記念日,LIHKG,前後都著左廿年d皮係好襟，但係max 2-2.5年就唔着得因為個環保膠底會磨到無囇最初都會幾個月上一次油十幾廿年前網購唔方便所以話哂千幾銀一對想用耐d但之後年就發現搞錯重點因為塊皮根本唔會爛反而係個底好快玩完幾年壽命嘅嘢保養黎都嘥氣以前都會落去鋪買但近幾年都係買ZALORA特價算,其他,其他,消费误导类（非诈骗）,未知,未知,未知,未知,未知,网络平台,未提及,未知,未知,未知
