news_id,title,content,summary,publish_date,source_publication,country,language,url,images,media_type,source,updated_time,status,country_traditional,fraud_type,contact_channel,Loss_amount,age_group,gender,education_level,occupation,economy,fund_behavior,decision_trait,post_behavior,text_type
FAZHI_20251030181524443_e6f5bf05,有人利用平台漏洞薅羊毛,薅羊毛也可能构成诈骗近日福建省厦门市思明区检察院办理了一起批量网购后恶意退款从中骗取电商服务平台交易推广佣金的诈骗案刘某等11名被告人因犯诈骗罪分别被判处有期徒刑十年至六个月部分适用缓刑各并处罚金 刘某了解到只要注册为某些平台的网络推广员吸引消费者通过自己的网络推广链接成功购买商品即可获得平台返佣对于消费者确认收货后退货退款的情形个别平台并不要求网络推广员返还佣金 2023年6月刘某锁定了几家存在,,2025/1/2 0:00,检察日报,CN,zh,http://www.legaldaily.com.cn/IT/content/2025-01/02/content_9111524.html,,,法治网,15:24.0,active,中國,虚假购物服务类,网络平台,,未知,,未知,个体户/经商,未知,多次转账,盲目相信,隐瞒不报,
FAZHI_20251030181524425_c6cf6c0d,海南检察推动检察护企检护民生走深走实,法治日报全媒体记者 邢东伟 翟小功 在一起金融不良债权追偿纠纷案中海南省人民检察院第一分院提出再审检察建议获法院改判企业2100余万元债权得以实现在揭某等人房产集资诈骗案中百名老年人成为受害者三亚市人民检察院联合相关单位追回资金430余万元 在2025年1月7日上午召开的海南省检察机关检察护企检护民生专项行动新闻发布会上海南省检察院副检察长李顺华刘涛分别通报了刚过去的一年里全省检察机关紧盯海南自由,,2025/1/8 0:00,法治日报-法治网,CN,zh,http://www.legaldaily.com.cn/index/content/2025-01/08/content_9114270.html,,,法治网,15:24.0,active,中國,其他/新型诈骗,其他,4300000,老年,,未知,退休人员(含退休老干部),未知,多次转账,盲目相信,告知亲友,非诈骗文本-案件报道
FAZHI_20251030181524443_cce35011,团伙以承包国企食堂为由诈骗2500余万元,□ 本报记者 孙立昊洋 □ 本报通讯员 辛甜 李春华 2024年8月15日随着最后几名违法嫌疑人顺利归案西安铁路公安局西安公安处成功破获一起特大诈骗案打掉犯罪团伙1个抓获涉案人员22名涉案金额2500余万元收缴印章手机U盾银行卡POS机及伪造证件合同等作案工具160余件 时间回溯到一个月前7月9日11时许西安站派出所门口有一男子徘徊多时民警上前询问得知该男子姓王被李某诈骗人民币280万元 经查王先,,2025/1/8 0:00,法治日报-法治网,CN,zh,http://www.legaldaily.com.cn/index/content/2025-01/08/content_9113725.html,,,法治网,15:24.0,active,中國,其他/新型诈骗,未知,2800000,中年,男性,未知,企业职员,高收入,大额投入,盲目相信,立即报警,非诈骗文本-案件报道
FAZHI_20251030181524412_b27a0dd6,?包治百病别信骗子的忽悠,每瓶进价28元的普通酒经专家鼓吹摇身一变成为具有治疗头疼眼疾耳鸣牛皮癣等多种功效的高端产品每瓶售价达280元每瓶10元的压片糖果经讲师包装变成治疗心脑血管疾病防治老年痴呆保护肝脏的产品每瓶售价达350余元 经湖北省宜昌市检察院提起公诉2024年9月30日宜昌市中级法院对一起特大养老诈骗犯罪集团的4名主犯宣判以诈骗罪判处宋某余某黄某李某无期徒刑至有期徒刑十年不等的刑罚各并处罚金300万元至35万元不,,2025/1/9 0:00,检察日报,CN,zh,http://www.legaldaily.com.cn/legal_case/content/2025-01/09/content_9114931.html,,,法治网,15:24.0,active,中國,虚假购物服务类,其他,,老年,,未知,退休人员(含退休老干部),未知,多次转账,盲目相信,隐瞒不报,
FAZHI_20251030181524425_6c019720,演员王星获救如何识破出国劳务陷阱警惕这四大骗局,8日泰国国家警察总署督察长塔查猜接受泰媒采访表示经初步调查确认中国籍男演员王星为人口贩运受害者后续计划在1至2天内将其送回中国 泰国警方称王星被骗出国参与选角经泰国前往缅甸但到达缅甸后发现被骗警方澄清王星没有受到人身伤害 泰国警方公布中国籍男演员失联时间线 事发前王星通过微信群收到演员工作通知决定前往泰国了解工作详情 泰国当地时间1月2日约21时他从中国上海浦东机场出发 当地时间1月3日约2时抵达,,2025/1/9 0:00,央视新闻微信公众号综合国家应急广播,CN,zh,http://www.legaldaily.com.cn/index/content/2025-01/09/content_9114589.html,,,法治网,15:24.0,active,中國,其他/新型诈骗,微信,,青年,男性,未知,学生,未知,未知,盲目相信,未知,非诈骗文本-案件报道
FAZHI_20251030181524435_4be0fcd9,合川法院审结考试挂靠诈骗案,法治日报讯 记者战海峰 通讯员向萍萍 近日重庆市合川区人民法院审结了一起以考证入库挂靠一条龙服务为名的网络诈骗案件对被告人陈某等4人以诈骗罪分别判处四年至二年五个月不等的有期徒刑并处罚金责令各被告人退赔受害人损失 陈某等人在未取得任何官方认证或许可的情况下通过电话和网络平台发布虚假广告声称能够帮助求职者轻松获得职业资格证书并且承诺通过挂靠公司获得高额收入 陈某等人以咨询老师的身份接触被害人诱导其支,,2025/1/9 0:00,法治日报,CN,zh,http://www.legaldaily.com.cn/legal_case/content/2025-01/09/content_9114952.html,,,法治网,15:24.0,active,中國,虚假购物服务类,电话、网络平台,,青年,,未知,学生,未知,多次转账,盲目相信,告知亲友,非诈骗文本-案件报道
FAZHI_20251030181524435_8ff39b47,中卫截获新型诈骗涉诈包裹,近日宁夏回族自治区中卫市公安局截获一个涉诈包裹帮助群众挽回损失4万元 2024年12月3日中卫市公安局接到出租车司机吴师傅报案称接到一个中卫至兰州的网约车订单但乘客却是一个包裹吴师傅仔细查看包裹发现该包裹与几天前反诈民警讲的涉诈包裹特点吻合随即向公安机关报警经调查受害人岳某为购买游戏账号被电信网络诈骗分子诱导将4万元现金通过网约车运送至兰州市而网约车接单人正是吴师傅 近期线上诈骗线下取钱网约车投送,,2025/1/9 0:00,人民公安报,CN,zh,http://www.legaldaily.com.cn/legal_case/content/2025-01/09/content_9114915.html,,,法治网,15:24.0,active,中國,网络游戏产品虚假交易类,网络平台,40000,青年,,未知,学生,低收入,大额投入,盲目相信,隐瞒不报,非诈骗文本-案件报道
FAZHI_20251030181524443_16aee01f,利用疫苗焦虑诈骗女性,我这里有靠谱渠道能够预约九价HPV疫苗（宫颈癌疫苗）在九价HPV疫苗供应紧张时陈某以有内部渠道能够预约九价HPV疫苗为由骗取182名被害人共计113万余元近日经山东省日照市东港区检察院提起公诉法院以诈骗罪判处陈某有期徒刑十年六个月并处罚金10万元 陈某原本是日照市某医院的护士因沉迷于为网络主播打赏让自己陷入债务危机 就在陈某苦恼没钱时好友李某的请托给了陈某灵感九价HPV疫苗太难预约了你在医院干了多,,2025/1/9 0:00,检察日报,CN,zh,http://www.legaldaily.com.cn/legal_case/content/2025-01/09/content_9114945.html,,,法治网,15:24.0,active,中國,虚假购物服务类,网络平台,1130000,青年,,大专,医护工作人员,中等收入,多次转账,盲目相信,立即报警,
FAZHI_20251030181524443_4c908dcf,代申公租房系列诈骗案被破获,法治日报讯 记者史万森 郭君怡 近日通过三个多月的侦查取证固定证据走访核查内蒙古鄂尔多斯市康巴什公安分局成功破获代办申请公租房系列诈骗案抓获犯罪嫌疑人包某某为群众成功挽回经济损失20万余元 2024年9月底康巴什公安分局陆续接到多名受害人报警称被人以代办申请公共租赁住房方式诈骗康巴什分局立即成立专案组对案件做进一步核查深挖同时对犯罪嫌疑人身份信息活动轨迹进行研判追查在辽宁沈阳将犯罪嫌疑人包某抓获 ,,2025/1/9 0:00,法治日报,CN,zh,http://www.legaldaily.com.cn/legal_case/content/2025-01/09/content_9114953.html,,,法治网,15:24.0,active,中國,虚假购物服务类,其他,200000,未知,,未知,其他,未知,多次转账,盲目相信,立即报警,非诈骗文本-案件报道
FAZHI_20251030181524443_097ab6b2,银行卡还在身上里面的钱却没了,2024年4月胶州市检察院召开检察官联席会围绕孙某牛某信用卡诈骗案的案件定性及证据等方面问题进行讨论 从不离身的银行卡被莫名盗刷有的还在境外有消费取现记录为何发生隔空取钱这背后是一桩链条齐整分工明确的涉银行卡犯罪经山东省胶州市检察院提起公诉近日法院以信用卡诈骗罪分别判处被告人孙某牛某有期徒刑六年五个月五年四个月各并处罚金以传授犯罪方法罪判处被告人许某有期徒刑二年 2024年1月至3月胶州市公安机关,,2025/1/9 0:00,检察日报,CN,zh,http://www.legaldaily.com.cn/legal_case/content/2025-01/09/content_9114943.html,,,法治网,15:24.0,active,中國,其他/新型诈骗,其他,,未知,,未知,其他,未知,未知,未知,未知,
