contact_channel,age_group,gender,education_level,occupation,economy,fund_behavior,decision_trait,fraud_type
网络平台,未知,Unknown,未知,个体户/经商,未知,多次转账,盲目相信,虚假购物服务类诈骗
其他,老年,Unknown,未知,退休人员(含退休老干部),未知,多次转账,盲目相信,虚假购物服务类诈骗
电话、网络平台,青年,Unknown,未知,学生,未知,多次转账,盲目相信,虚假购物服务类诈骗
网络平台,青年,Unknown,未知,学生,低收入,大额投入,盲目相信,网络游戏产品虚假交易类诈骗
网络平台,青年,Unknown,大专,医护工作人员,中等收入,多次转账,盲目相信,虚假购物服务类诈骗
其他,未知,Unknown,未知,其他,未知,多次转账,盲目相信,虚假购物服务类诈骗
其他,中年,Unknown,未知,企业职员,中等收入,多次转账,盲目相信,冒充领导熟人类诈骗
其他,中年,女性,未知,个体户/经商,未知,多次转账,盲目相信,网络婚恋、交友类诈骗
网络平台,青年,女性,大专,学生,未知,多次转账,盲目相信,网络婚恋、交友类诈骗
抖音/快手,未知,Unknown,未知,未知,未知,大额投入,冲动决定,虚假购物服务类诈骗
